x,corp_code,corp_name,stock_code,modify_date,corp_name_eng,stock_name,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt
0,00135917,한화손해보험(주),000370,20200117,"Hanwha General Insurance Co., Ltd.",한화손해보험,강성수,Y,1101110006456,1168146445,서울특별시 영등포구  여의대로 56 한화손해보험(주),www.hwgeneralins.com/,,02-1566-8000,02)6366-7209,65121,19460401,12
1,00129387,삼화페인트공업(주),000390,20190312,"SAMHWA PAINT INDUSTRIAL CO.,LTD",삼화페인트공업,"김장연,오진수(각자대표)",Y,1101110014433,1348117477,경기도 안산시 단원구  별망로 178,www.samhwa.com,,031-499-0394-6,031-499-0399,20411,19460409,12
2,00166519,화천기공(주),000850,20191217,"HWACHEON MACHINE TOOL CO.,LTD",화천기공,"각자대표이사 권영두, 권영렬",Y,2001110001704,4108100996,광주광역시 광산구 하남산단4번로 123-17 (장덕동) 화천기공(주),www.hwacheon.com,,062-951-5111,062-951-0086,29223,19771011,12
3,00100939,강남제비스코(주),000860,20191128,"KANGNAM JEVISCO CO.,LTD",강남제비스코,"황익준,김재현(각자대표이사)",Y,1801110003391,6058103330,부산광역시 부산진구  냉정로 289 (가야동),www.jevisco.com,,051-892-4221,051-892-5576,20411,19520716,12
4,00160588,(주)한화,000880,20200113,HANWHA CORP,한화,"금춘수, 옥경석, 이민석",Y,1101110002959,2028116825,서울특별시 중구  청계천로 86 24층,www.hanwhacorp.co.kr,www.hanwhacorp.co.kr,02-729-1114,0505-730-3333,20494,19521028,12
5,00112059,(주)상상인증권,001290,20191230,"SANGSANGININVESTMENT&SECURITIES CO.,LTD.",상상인증권,이명수,Y,1101110031560,1168114318,서울특별시 강남구 테헤란로 424 삼성생명 대치타워 20층,www.sangsanginib.com,,02-3779-3000,02-6357-7017,66121,19540830,12
6,00158112,한국수출포장공업(주),002200,20191210,"KOREA EXPORT PACKAGING INDUSTRIAL CO.,LTD",한국수출포장공업,대표이사 회장 허용삼 대표이사 사장 허정훈(각자대표이사),Y,1101110008882,2148144931,서울특별시 서초구 서초중앙로 63,www.keppack.co.kr,,02-525-2981-9,02-522-3546,1721,19571121,12
7,00116268,동성제약(주),002210,20191209,"DONGSUNG PHARMACEUTICAL CO.,LTD",동성제약,이양구,Y,1101110008200,2118125288,서울특별시 도봉구  도봉로 683  (방학동) 동성빌딩,dongsung-pharm.co.kr,,02-6911-3600,0505-191-2631,21210,19571125,12
8,00163196,한일철강(주),002220,20190620,"HANIL IRON & STEEL CO.,LTD",한일철강,엄정헌,Y,1101110048987,2018144712,서울특별시 중구  퇴계로27길 28 (한영빌딩 9층),www.hanilsteel.co.kr,,02-2267-6161,02-2267-5198,2419,19571205,12
9,00123107,(주)보락,002760,20190218,"BOLAK CO.,LTD",보락,정기련,Y,1348110004474,1248134203,경기도 화성시  양감면 초록로 720-37,www.bolak.co.kr,,031-352-6455,031-352-4341,2049,19590817,12
10,00150828,진흥기업(주),002780,20190520,CHINHUNG INTERNATIONAL INC,진흥기업,"노재봉, 이주익",Y,1101110006349,1068132769,"인천광역시 연수구 컨벤시아대로 69 (송도동 , 송도밀레니엄 807호)",www.chinhung.co.kr,,02-772-1200,02-776-9678,41221,19590903,12
11,00126955,삼양식품(주),003230,20190703,"SAMYANG FOODS CO.,LTD",삼양식품,정태운,Y,1101110034308,1028105450,서울특별시 성북구  오패산로3길 104,www.samyangfood.co.kr,,02-940-3000,02-917-5536,107,19610915,12
12,00153393,태광산업(주),003240,20191128,"TAEKWANG INDUSTRIAL CO.,LTD",태광산업,"홍현민, 김형생 (각자 대표이사)",Y,1101110185276,2038143626,서울특별시 중구  동호로 310 (장충동2가),www.taekwang.co.kr,,02-3406-0300,02-3406-0428,20501,19610915,12
13,00122348,(주)방림,003610,20191127,"PANGRIM CO.,LTD",방림,서재희 대표집행임원,Y,1101110035108,1078111490,서울특별시 마포구  월드컵북로 402 케이지아이티센터 18층,www.pangrim.com,,02-2085-2114,(02)2088-2007,132,19621205,09
14,00171636,한솔홀딩스(주),004150,20190225,"Hansol Holdings Co., Ltd.",한솔홀딩스,이재희,Y,1101110017867,1048125772,서울특별시 중구 을지로 100 파인애비뉴 B동 24층,www.hansol.com,,02-3287-6875,02-6031-0902,64992,19650119,12
15,00136378,(주)신세계,004170,20200114,SHINSEGAE Inc.,신세계,차정호,Y,1101110028848,2018132195,서울특별시 중구  소공로 63 (충무로1가) 신세계백화점건물 (주)신세계,www.shinsegae.com,,02-727-1234,02-727-1889,47111,19551209,12
16,00102681,고려개발(주),004200,20191203,KOREA DEVELOPMENT CORPORATION,고려개발,곽수윤,Y,1101110052037,1068144682,"경기도 용인시 수지구 풍덕천로 112 501(풍덕천동, 하나프라자빌딩)",www.kdc.co.kr,,031-420-9000,031-420-9051,41221,19650331,12
17,00138057,써니전자(주),004770,20190226,"SUNNY ELECTRONICS CO.,LTD",써니전자,차상권,Y,1101110070881,1138106968,충청북도 충주시  목행산단2로 59,www.sunny.co.kr,,043-853-1760,043-853-5805,2612,19660915,12
18,00109587,(주)대륙제관,004780,20190304,DaeryukCan,대륙제관,"박봉국, 박봉준 (각자대표이사)",K,1101110073877,2208104875,서울특별시 강남구 역삼로 221,www.drcc.co.kr,,02-6003-0600,02-562-9912,25991,19661224,12
19,00118804,(주)동진쎄미켐,005290,20191129,"DONGJIN SEMICHEM CO., LTD.",동진쎄미켐,"이부섭, 이준혁",K,1201110003848,1378107814,인천광역시 서구  백범로 644,www.dongjin.com,,02-325-9451,02-325-9459,20129,19730710,12
20,00120571,롯데칠성음료(주),005300,20200113,"LOTTE CHILSUNG BEVERAGE CO.,LTD",롯데칠성음료,이영구,Y,1101110003684,2148107770,서울특별시 서초구 서초대로70길 15,company.lottechilsung.co.kr,,02-3479-9114,02-535-8619,11209,19671129,12
21,00143794,(주)원림,005820,20190423,WONLIM CORPORATION,원림,신성엽,Y,1101110095152,1198101618,서울특별시 서초구  남부순환로 2495 원림빌딩 9층,www.wonlim.co.kr,,02-523-9236,02-581-6543,13300,19681028,12
22,00159102,DB손해보험(주),005830,20200106,"DB INSURANCE CO.,LTD",DB손해보험,김정남,Y,1101110095285,2018145593,서울특별시 강남구  테헤란로 432,www.idbins.com,,02-1588-0100,0505-181-0027,65121,19681101,12
23,00120030,지에스건설(주),006360,20191202,GS Engineering & Construction Corp,GS건설,"허창수, 임병용(각자 대표이사)",Y,1101110002694,1048118121,서울특별시 종로구 종로 33 그랑서울,www.gsconst.co.kr/,,02-2154-1112,02-2154-0807,4111,19691219,12
24,00108977,(주)대구백화점,006370,20191217,"Daegu Department Store Co., Ltd",대구백화점,구정모,Y,1701110003814,5018100026,대구광역시 중구 동성로 30 9층 재무팀,www.debec.co.kr,,053-423-1234,4207931,47111,19691226,12
25,00122898,(주)벽산,007210,20190314,BYUKSAN CORPORATION,벽산,김 성 식,Y,1101110113384,2038143780,"서울특별시 중구  퇴계로 307 광희동 1가, 광희빌딩",www.byucksan.com,,02-2260-6114,02-2279-9386,23999,19710409,12
26,00124090,한국특수형강(주),007280,20191128,"KOREA STEEL SHAPES CO.,LTD",한국특수형강,"장세현, 조권제",Y,1801110015362,6068101728,부산광역시 사상구  장인로77번길 52(학장동),www.ekosco.com,,051-323-2611,051) 325-5713,24121,19710518,12
27,00141529,(주)오뚜기,007310,20191209,OTTOGI CORPORATION,오뚜기,"함영준,이강훈",Y,1341110002258,1388103238,경기도 안양시 동안구  흥안대로 405,www.ottogi.co.kr,,031-421-2122,02) 528 -1970,10749,19710603,12
28,00157104,대동전자(주),008110,20190528,"DAIDONG ELECTRONICS.,LTD",대동전자,김명성,Y,1101110134819,1198104629,서울특별시 금천구  가산디지털1로 33,www.daidong.com,,02-855-5121,864-4690,264,19721010,03
29,00145446,이건산업(주),008250,20191210,EAGON INDUSTRIAL LTD,이건산업,"박승준, 이길수",Y,1201110001959,1318106200,인천광역시 남구 염전로 91,www.eagon.com,,032-760-0800,0327600955,16211,19721207,12
30,00126371,삼성전기(주),009150,20191212,"SAMSUNG ELECTRO-MECHANICS CO.,LTD",삼성전기,경계현,Y,1301110001626,1248100979,경기도 수원시 영통구  매영로 150,www.sem.samsung.co.kr,,031-210-5114,031-210-5087,2622,19730808,12
31,00138260,(주)SIMPAC,009160,20190226,SIMPACInc,SIMPAC,최진식,Y,1201110002189,1228100819,인천광역시 부평구  부평북로 141 (주)SIMPAC,www.simpac.co.kr,,032-510-0044,032-515-3030,2922,19730809,12
