themeCode,themeName,stockCode,stockName,info
104,스마트홈(홈네트워크),A015710,코콤,"스마트 홈 시스템(IoT/홈 네트워크 시스템, 홈 오토메이션), 비디오 도어폰, 도어폰, 인터폰, CCTV시스템, LED 조명 시스템, SI사업 등을 영위하는 업체. 위례 신도시에 음성인식으로 난방, 조명, 방범 등 홈네트워크 기능을 제어하는 월 패드 공급."
104,스마트홈(홈네트워크),A038680,에스넷,"네트워크통합을 근간으로 하는 소프트네트워크 솔루션 전문업체. 네트워크 기술 기반으로 하는 스마트오토메이션 센터 서비스 출시. 다양한 애플리케이션과 연동, 네트워크 운영, 관리를 자동화 함."
104,스마트홈(홈네트워크),A042940,상지카일룸,"홈네트워크시스템 관련 특허 및 저작권을 보유하고 있으며, 유/무선상의 인터넷 망을 통하여 가정의 백색가전, 각종 센서, 액츄에이터 등을 제어ㆍ모니터링."
104,스마트홈(홈네트워크),A066570,LG전자,"스마트 씽크(ThinkQ)를 통해 휘센 에어컨, 트롬세탁기, 스마트TV, 냉장고, 공기청정기를 제어하는 서비스를 제공."
104,스마트홈(홈네트워크),A039010,현대통신,"SK하이닉스(구 하이닉스)에서 분사해 설립된 업체로 스마트홈시스템 사업 등을 영위. Smart Home, 주방TV, 무인경비시스템, 디지털도어락, CCTV류 등을 생산하고 있으며, 특히 국내 최초 무인전자 경비 시스템 개발과 디지털 도어락(Digital Door Lock)의 시장 도입."
104,스마트홈(홈네트워크),A036690,코맥스,"COMMAX라는 자체 브랜드를 보유한 홈네트워크, 비디오폰, 인터폰, CCTV, 방송설비 등의 전자통신기기 전문 제조업체. 비디오폰, 인터폰을 비롯한 홈네트워크 솔루션 부분 국내 선두권 업체."
104,스마트홈(홈네트워크),A012750,에스원,"삼성그룹 계열의 국내 1위 시스템 경비 및 통합 보안서비스 제공업체. NFC 기술을 이용하여 스마트폰 연동, 원격 방법 설정 및 긴급 출동 서비스를 제공. SK텔레콤과 제휴를 통해 ‘세콤 홈블랙박스 서비스’ 개시."
104,스마트홈(홈네트워크),A005930,삼성전자,"사물인터넷(IoT) 기능을 적용한 ‘패밀리 허브’ 냉장고 출시. ‘패밀리 허브’와 연동된 스마트폰으로 식재료 확인, 대형마트 연계 쇼핑이 가능하며, 냉장고를 이용해 라디오, TV시청, 각종 정보 확인 등이 가능."
104,스마트홈(홈네트워크),A039570,HDC아이콘트롤스,"HDC 그룹의 정보기술(IT) 핵심 계열사로, 빌딩솔루션 및 스마트홈 전문업체. 홈네트워크 시스템과 연동을 통해 주차관제, 원격검침, CCTV, 정보통신, LED조명 등의 제품 출시."
104,스마트홈(홈네트워크),A011690,유양디앤유,"LCD, LED, 3D, 스마트, OLED, UHD TV용 전원공급장치 및 LED SOLUTION의 제조/판매업체. 스마트 LED조명 제어기술 특허 보유."
